dist,val,sd,tp,fp,oa,oa_sd
1,0.4768582321358785,0.08738467420182777,2.53,0.47,0.9269999999999999,0.07121598957900656
2,0.0997858282245314,0.018412444749541495,3.0,0.0,0.9914999999999999,0.021385117075275333
3,0.2903885308716569,0.07251343190344911,2.79,0.21,0.9570000000000001,0.048210397470280456
4,0.5923594159958043,0.12029916989636742,2.23,0.77,0.9169999999999999,0.059974742158426124
5,0.689150973498616,0.18001185238794154,2.03,0.97,0.9129999999999998,0.06220688844249459
6,0.9163548557103559,0.2317814034680881,1.68,1.32,0.8994999999999999,0.05388680616614679
