dist,val,sd,tp,fp,oa,oa_sd
1,0.45813282592898347,0.07494817526176235,2.51,0.49,0.9419999999999997,0.04699022034509742
2,0.09735997327636876,0.01744951699584209,3.0,0.0,0.9954999999999999,0.016041297713191183
3,0.28506258903188525,0.06859689137968131,2.85,0.15,0.9634999999999999,0.051666666666666666
4,0.6030985723589923,0.12230447178830513,2.24,0.76,0.9189999999999999,0.052116807424876045
5,0.6771597120521998,0.17806132790217222,2.08,0.92,0.9194999999999999,0.05812516970758323
6,0.9358768616521869,0.2603200015091672,1.73,1.27,0.8974999999999999,0.06371297696971498
