dist,val,sd,tp,fp,oa,oa_sd
1,0.49652522041613906,0.08592472182839417,2.51,0.49,0.9139999999999999,0.09483638222717794
2,0.1088716515454134,0.019339305051320383,3.0,0.0,0.9575,0.04993682878083938
3,0.28242651821515674,0.06937070744768158,2.86,0.14,0.953,0.06956575263298702
4,0.5974186000219729,0.11563799438251686,2.24,0.76,0.9189999999999999,0.06145541210314739
5,0.7168144358945844,0.2114484129692105,2.08,0.92,0.8984999999999999,0.08301606270274847
6,0.9234276386688787,0.2792032888414208,1.81,1.19,0.8839999999999999,0.0966300871228715
