dist,val,sd,tp,fp,oa,oa_sd
1,0.46917166460118204,0.0866271899432974,2.48,0.52,0.9364999999999999,0.05939722470814863
2,0.09761800894748664,0.01629405780205583,3.0,0.0,0.9969999999999999,0.01193416282879711
3,0.27957210930244303,0.06949520487389986,2.87,0.13,0.959,0.04993935716385818
4,0.5853841250354723,0.12347862312527888,2.21,0.79,0.9229999999999997,0.050960471906858325
5,0.6819656156795628,0.1929556907324192,2.09,0.91,0.9159999999999999,0.05453198486885812
6,0.9064391945206435,0.21685020707094133,1.65,1.35,0.9064999999999998,0.04957139530337259
