dist,val,sd,tp,fp,oa,oa_sd
1,0.5044914219766659,0.0876898217023894,2.5,0.5,0.9229999999999999,0.07156970184527962
2,0.11202607214940531,0.0229323630584461,3.0,0.0,0.94,0.09401267913629435
3,0.2819827714679908,0.06949545565826473,2.81,0.19,0.9574999999999999,0.05961789101681583
4,0.6015664745225687,0.12957408613291327,2.3,0.7,0.9154999999999999,0.06383968241231348
5,0.7390459833895435,0.19043059122492736,2.07,0.93,0.9035,0.06445380461456816
6,0.8871021807684342,0.25221542883871406,1.71,1.29,0.8909999999999999,0.06450276010068143
