dist,val,sd,tp,fp,oa,oa_sd
1,0.4952627887884404,0.0905970510529713,2.45,0.55,0.9269999999999996,0.0570397699288431
2,0.10918855704541582,0.020525747214131702,3.0,0.0,0.9594999999999999,0.060592612144259365
3,0.28718451221118313,0.07834137860629262,2.85,0.15,0.949,0.07350530799221443
4,0.5884120710708546,0.13096536923690016,2.26,0.74,0.9149999999999997,0.06336522323129236
5,0.7129594861113557,0.1913451018363927,2.06,0.94,0.8929999999999998,0.08439325934114775
6,0.8813855042003071,0.24138375854096944,1.78,1.22,0.9044999999999999,0.058644193354000645
